speaker,gender,school,speechStyle,segment,previous_segment,following_segment,word,segment_duration,word_duration,start_point_segment,end_point_segment,start_point_word,end_point_word,extraction_param,intensity_mean,pitch_mean,f1,f2
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,w,t,wo:t@,0.2,0.52,2.09,2.29,2,2.52,3,72.24357613,205.3675406,464.4790293,928.6026948
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,w,t,wo:t@,0.2,0.52,2.09,2.29,2,2.52,4,72.24357613,205.3675406,466.004648,989.4121188
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,w,t,wo:t@,0.2,0.52,2.09,2.29,2,2.52,5,72.24357613,205.3675406,490.7606807,1108.493203
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,t,<p:>,wo:t@,0.14,0.52,2.38,2.52,2,2.52,1,66.86572457,206.3118232,579.5825199,1759.423354
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,t,<p:>,wo:t@,0.14,0.52,2.38,2.52,2,2.52,2,66.86572457,206.3118232,559.1198533,1614.769322
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,t,<p:>,wo:t@,0.14,0.52,2.38,2.52,2,2.52,3,66.86572457,206.3118232,552.5454311,1613.296463
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,t,<p:>,wo:t@,0.14,0.52,2.38,2.52,2,2.52,4,66.86572457,206.3118232,598.5311193,1681.187448
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,t,<p:>,wo:t@,0.14,0.52,2.38,2.52,2,2.52,5,66.86572457,206.3118232,546.4469697,1951.124962
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,<p:>,n,{nd,0.07,0.16,2.75,2.82,2.75,2.91,1,70.24658393,204.7250344,1399.302261,2000.304293
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,<p:>,n,{nd,0.07,0.16,2.75,2.82,2.75,2.91,2,70.24658393,204.7250344,527.9986051,1564.698476
